AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;FUNDICION;IDH;INGRESO FAMILIAR;MINERIA NO METALICA;MINERIA SUBTERRANEA;POBLACION 18 AÑOS;POBLACION;REFINERIA;TOTAL DE TRANSFERENCIAS
2009;09-300850;SAN PEDRO DE CORIS;  MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CORIS;CHURCAMPA;HUANCAVELICA;090509;7.319467579;1384133.7;67.00532961;;0.29771411;355.7128175;;1;37.06432125;3999.5;;1803461.38
2009;03-300887;CHINCHAO;  MUNICIPALIDAD DISTRITAL DE CHINCHAO;HUANUCO;HUANUCO;100103;3.159107767;41730.66;73.05462425;;0.184023551;196.0747145;1;;15.30160904;25575;;56284.04
2009;07-300952;SAN MIGUEL DE CAURI;  MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE CAURI;LAURICOCHA;HUANUCO;101007;6.601611654;324223.28;70.48409752;;0.266658624;226.3420709;;1;33.12279845;10009.5;;577896.22
2009;03-300976;CHAVIN;  MUNICIPALIDAD DISTRITAL DE CHAVIN;CHINCHA;ICA;110203;7.908807551;1678716.28;76.65847975;;0.365851325;401.4861329;;1;38.08211632;1160.5;;1688783.4
2009;05-300989;VISTA ALEGRE;  MUNICIPALIDAD DISTRITAL DE VISTA ALEGRE;NASCA;ICA;110305;9.127155709;5975517.55;78.16338273;;0.442956152;430.7757557;;1;74.71821331;14108;;6417700.02
2009;05-300999;PARACAS;  MUNICIPALIDAD DISTRITAL DE PARACAS;PISCO;ICA;110505;10.07859764;945839.9;75.71409313;;0.431830219;474.9628621;1;;52.83856745;4565;1;1004201.95
2009;07-301001;SAN CLEMENTE;  MUNICIPALIDAD DISTRITAL DE SAN CLEMENTE;PISCO;ICA;110507;8.846460243;1980493.01;75.5483187;;0.416574859;433.1374886;1;;59.78930714;19897.5;;2122679.14
2009;12-301010;COLCA;  MUNICIPALIDAD DISTRITAL DE COLCA;HUANCAYO;JUNIN;120112;7.477397053;45088.86;71.48764364;;0.30851962;212.6008274;1;;69.65695835;2045.5;;68453.84
2009;06-301051;VITOC;  MUNICIPALIDAD DISTRITAL DE VITOC;CHANCHAMAYO;JUNIN;120306;7.965183174;43170.72;72.54609685;;0.389715934;465.2379837;;1;51.24208792;2617;;167486.6
2009;06-301057;CURICACA;  MUNICIPALIDAD DISTRITAL DE CURICACA;JAUJA;JUNIN;120406;6.939648817;51189.82;69.98132608;;0.335270284;308.7296115;1;;62.49594791;1761.5;;71873.31
2009;05-301102;LA UNION;  MUNICIPALIDAD DISTRITAL DE LA UNION;TARMA;JUNIN;120705;7.360584599;311597.89;72.84639428;;0.363578687;339.8354706;1;;63.49152402;3778.5;;409669.3
2009;01-301108;LA OROYA;  MUNICIPALIDAD PROVINCIAL DE YAULI - LA OROYA;YAULI;JUNIN;120801;10.4561038;2307738.95;73.82214551;1;0.505879645;633.3955574;;;74.97711023;17912;;3447283.61
2009;03-301110;HUAY-HUAY;  MUNICIPALIDAD DISTRITAL DE HUAY - HUAY;YAULI;JUNIN;120803;9.708886297;1531836.78;73.97886546;;0.401401929;459.7325287;;1;44.5972154;1667.5;;2842985.09
2009;04-301111;MARCAPOMACOCHA;  MUNICIPALIDAD DISTRITAL DE MARCAPOMACOCHA;YAULI;JUNIN;120804;7.861205393;474458.58;73.94992335;;0.358726955;346.6085493;1;;52.9871746;1293.5;;708839.51
2009;10-301117;YAULI;  MUNICIPALIDAD DISTRITAL DE YAULI;YAULI;JUNIN;120810;10.21352965;2863921.01;73.81042561;;0.488815372;612.4199765;1;1;71.75704346;5907.5;;5252435.97
2009;01-301171;SAN PEDRO DE LLOC;  MUNICIPALIDAD PROVINCIAL DE PACASMAYO - SAN PEDRO DE LLOC;PACASMAYO;LA LIBERTAD;130701;9.830702747;1621892.24;76.49960705;;0.463137551;514.2461857;1;;64.59227913;16457;;1742046.53
2009;09-301184;PATAZ;  MUNICIPALIDAD DISTRITAL DE PATAZ;PATAZ;LA LIBERTAD;130809;7.156525796;2967211.82;70.46495891;;0.285842966;295.5953686;;1;23.86518389;7766.5;;4135315.9
2009;02-301206;LUCMA;  MUNICIPALIDAD DISTRITAL DE LUCMA;GRAN CHIMU;LA LIBERTAD;131102;5.104664943;914259.77;72.25417217;;0.196759209;155.0693421;1;;16.97471831;6056.5;;981993.34
2009;03-301211;GUADALUPITO;  MUNICIPALIDAD DISTRITAL DE GUADALUPITO;VIRU;LA LIBERTAD;131203;5.989731584;652125.89;74.6810638;;0.325230784;323.2784697;1;;43.98625414;6849.5;;700500.89
2009;04-301235;MANUEL ANTONIO MESONES MURO;  MUNICIPALIDAD DISTRITAL DE MANUEL ANTONIO MESONES MURO;FERREÑAFE;LAMBAYEQUE;140204;6.389020403;728.1;69.07268105;;0.313587542;286.3673534;1;;56.20243078;4219;;728.1
2009;06-301255;CARABAYLLO;  MUNICIPALIDAD DISTRITAL DE CARABAYLLO;LIMA;LIMA;150106;10.75702024;395805.85;76.49084266;;0.499132804;573.1231962;1;;73.23892918;230231.5;;434268.97
2009;18-301267;LURIGANCHO;  MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA);LIMA;LIMA;150118;10.60683995;503924.47;76.76572372;;0.520188564;634.8683492;;;76.1192038;179666.5;1;544430.34
2009;19-301268;LURIN;  MUNICIPALIDAD DISTRITAL DE LURIN;LIMA;LIMA;150119;9.918573833;264399.24;76.58359355;;0.502860543;623.1779786;1;;70.76819117;67330.5;;323240.42
2009;23-301272;PACHACAMAC;  MUNICIPALIDAD DISTRITAL DE PACHACAMAC;LIMA;LIMA;150123;9.765927691;604981.16;76.3644846;;0.473732323;548.013678;1;;66.48387479;78105;;641987.75
2009;43-301292;VILLA MARIA DEL TRIUNFO;  MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO;LIMA;LIMA;150143;10.01591045;886717.52;76.79670766;;0.505252377;611.9348623;1;;74.13308716;395132.5;;1096438.74
2009;02-301312;ASIA;  MUNICIPALIDAD DISTRITAL DE ASIA;CAÑETE;LIMA;150502;8.709182726;444027.28;76.56290023;;0.44710101;539.2609065;1;;57.75120685;7127;;544893.91
2009;05-301315;CHILCA;  MUNICIPALIDAD DISTRITAL DE CHILCA;CAÑETE;LIMA;150505;8.810037285;700089.73;76.91036354;;0.460778408;579.3157348;1;;57.4487257;14945;;902182.41
