AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;IDH;INGRESO FAMILIAR;METODOS DE EXPLOTACION;POBLACION 18 AÑOS;POBLACION;TOTAL DE TRANSFERENCIAS
2016;08-301508;SAN FRANCISCO DE ASIS DE YARUSYACAN;  MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE ASIS DE YARUSYACAN;PASCO;PASCO;190108;8.73;1125122.81;73.19;0.54;836.56;1.00;79.01;7180.00;3098914.51
2016;09-301509;SIMON BOLIVAR;  MUNICIPALIDAD DISTRITAL DE SIMON BOLIVAR;PASCO;PASCO;190109;10.11;406563.08;76.39;0.55;755.59;1.00;78.45;12288.00;1371291.73
2016;11-301511;TINYAHUARCO;  MUNICIPALIDAD DISTRITAL DE TINYAHUARCO;PASCO;PASCO;190111;10.34;151241.03;78.06;0.59;840.38;1.00;80.77;6520.50;1217320.00
2016;13-301513;YANACANCHA;  MUNICIPALIDAD DISTRITAL DE YANACANCHA;PASCO;PASCO;190113;11.20;637580.15;77.51;0.59;817.75;1.00;80.33;29881.00;1626608.60
2016;01-301701;MOYOBAMBA;  MUNICIPALIDAD PROVINCIAL DE MOYOBAMBA;MOYOBAMBA;SAN MARTIN;220101;7.62;32107.12;73.17;0.50;832.02;1.00;55.18;79900.00;41003.75
2016;07-301784;PALCA;  MUNICIPALIDAD DISTRITAL DE PALCA;TACNA;TACNA;230107;8.58;3129680.89;76.23;0.52;793.17;1.00;61.30;1824.50;4555976.29
2016;05-301808;SAN JACINTO;  MUNICIPALIDAD DISTRITAL DE SAN JACINTO;TUMBES;TUMBES;240105;7.93;;79.93;0.54;800.61;1.00;74.08;8526.50;1332987.92
2017;06-300090;JANGAS;  MUNICIPALIDAD DISTRITAL DE JANGAS;HUARAZ;ANCASH;20106;5.56;2039134.72;82.41;0.44;579.39;1.00;57.89;4781.00;2640796.78
2017;19-300349;SAN JUAN DE TARUCANI;  MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI;AREQUIPA;AREQUIPA;40119;5.42;764426.34;85.07;0.50;748.44;1.00;71.68;1377.00;1616554.17
2017;24-300354;UCHUMAYO;  MUNICIPALIDAD DISTRITAL DE UCHUMAYO;AREQUIPA;AREQUIPA;40124;10.01;9881410.48;82.29;0.65;1087.18;1.00;78.58;14054.00;17406964.27
2017;27-300357;YARABAMBA;  MUNICIPALIDAD DISTRITAL DE YARABAMBA;AREQUIPA;AREQUIPA;40127;9.89;8101911.44;81.12;0.64;1089.35;1.00;73.26;1314.00;46466048.16
2017;28-300358;YURA;  MUNICIPALIDAD DISTRITAL DE YURA;AREQUIPA;AREQUIPA;40128;8.36;10583956.30;78.51;0.59;992.07;1.00;78.43;33346.00;19958782.39
2017;01-300549;CAJAMARCA;  MUNICIPALIDAD PROVINCIAL DE CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;9.08;16120064.78;72.15;0.55;884.27;1.00;70.43;218741.00;19867739.26
2017;06-300797;HUACHOCOLPA;  MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA;HUANCAVELICA;HUANCAVELICA;90106;5.80;13812.16;64.83;0.42;764.22;1.00;48.57;1875.00;316395.86
2017;03-300887;CHINCHAO;  MUNICIPALIDAD DISTRITAL DE CHINCHAO;HUANUCO;HUANUCO;100103;3.47;27573.84;79.14;0.29;339.28;1.00;42.68;13135.00;62605.59
